;;;;;
case;angle_of_attack;inlet_vel;moment;lift_force;drag_force
DP 14;1.5;7;22.400559;452.53893;32.707121
DP 15;1.5;7.5;25.697848;519.10515;37.324642
DP 16;1.5;8;29.217702;590.19036;42.252148
DP 1;2;0.5;0.11466099;2.377233;0.24307901
DP 2;2;1;0.46853563;9.7232135;0.9295684
DP 3;2;1.5;1.0589457;21.975736;2.0424545
DP 4;2;2;1.8900026;39.236604;3.5588067
DP 5;2;2.5;2.9648935;61.550525;5.4687358
DP 6;2;3;4.2786219;88.819738;7.7597903
DP 7;2;3.5;5.8314966;121.07377;10.433598
DP 8;2;4;7.6181898;158.1902;13.468796
DP 9;2;4.5;9.6425269;200.24234;16.870832
DP 10;2;5;11.904247;247.2153;20.634565
DP 11;2;5.5;14.401408;299.06448;24.756731
DP 12;2;6;17.13439;355.79384;29.239974
DP 13;2;6.5;20.101878;417.37751;34.085076
DP 14;2;7;23.301073;483.76158;39.299229
DP 15;2;7.5;26.735023;555.0249;44.873028
DP 16;2;8;30.39928;631.09079;50.847953
DP 1;2.5;0.5;0.11940851;2.538223;0.27923226
DP 2;2.5;1;0.48738194;10.365654;1.0763363
DP 3;2.5;1.5;1.1010764;23.416955;2.3728365
DP 4;2.5;2;1.9645893;41.79393;4.1484909
DP 5;2.5;2.5;3.080948;65.539738;6.3934794
DP 6;2.5;3;4.4455149;94.564891;9.0927811
DP 7;2.5;3.5;6.057846;128.8807;12.246894
DP 8;2.5;4;7.9127986;168.36871;15.834
DP 9;2.5;4.5;10.016015;213.14014;19.864327
DP 10;2.5;5;12.36504;263.13572;24.328983
DP 11;2.5;5.5;14.959728;318.344;29.225885
DP 12;2.5;6;17.79947;378.75313;34.555669
DP 13;2.5;6.5;20.882063;444.31613;40.321873
DP 14;2.5;7;24.205841;515.00759;46.522954
DP 15;2.5;7.5;27.775135;590.92216;53.185887
DP 16;2.5;8;31.583008;671.94991;60.289027
DP 1;3;0.5;0.12406488;2.6967417;0.31888454
DP 2;3;1;0.50589239;10.999856;1.2363795
DP 3;3;1.5;1.1424626;24.840284;2.7327952
DP 4;3;2;2.0378159;44.319042;4.7908965
DP 5;3;2.5;3.1951037;69.483123;7.4007184
DP 6;3;3;4.6101773;100.25362;10.54516
DP 7;3;3.5;6.2812983;136.61342;14.222155
DP 8;3;4;8.2042511;178.46317;18.410458
DP 9;3;4.5;10.384852;225.91765;23.122841
DP 10;3;5;12.821752;278.93779;28.353135
DP 11;3;5.5;15.512788;337.47352;34.093424
DP 12;3;6;18.458545;401.53638;40.347027
DP 13;3;6.5;21.655868;471.0618;47.114028
DP 14;3;7;25.104034;546.04302;54.405044
DP 15;3;7.5;28.808034;626.58944;62.225478
DP 16;3;8;32.75994;712.56846;70.568113
DP 1;3.5;0.5;0.12872019;2.855087;0.36200605
DP 2;3.5;1;0.5242888;11.630805;1.4099404
DP 3;3.5;1.5;1.1836555;26.258755;3.1229724
DP 4;3.5;2;2.1106439;46.834744;5.4871788
DP 5;3.5;2.5;3.3089028;73.417682;8.4918813
DP 6;3.5;3;4.7736334;105.9163;12.116373
DP 7;3.5;3.5;6.5033592;144.3159;16.358316
DP 8;3.5;4;8.4939712;188.51946;21.196825
DP 9;3.5;4.5;10.751207;238.64138;26.645125
DP 10;3.5;5;13.274732;294.66198;32.701451
DP 11;3.5;5.5;16.06115;356.50554;39.352999
DP 12;3.5;6;19.111358;424.19023;46.603743
DP 13;3.5;6.5;22.421754;497.64318;54.452481
DP 14;3.5;7;25.992994;576.88916;62.923193
DP 15;3.5;7.5;29.829783;662.02649;71.998443
DP 16;3.5;8;33.922261;752.89305;81.684346
DP 1;4;0.5;0.1333402;3.0127587;0.4083137
DP 2;4;1;0.54256216;12.259038;1.5964073
DP 3;4;1.5;1.2242564;27.662063;3.5426322
DP 4;4;2;2.1825205;49.326043;6.2362505
DP 5;4;2.5;3.4208884;77.307904;9.663821
DP 6;4;3;4.9347415;111.52069;13.803525
DP 7;4;3.5;6.7220125;151.93486;18.651223
DP 8;4;4;8.7797059;198.47521;24.187691
DP 9;4;4.5;11.113049;251.24734;30.427258
DP 10;4;5;13.721935;310.23468;37.369602
DP 11;4;5.5;16.602873;375.36052;44.99956
DP 12;4;6;19.756435;446.63598;53.323482
DP 13;4;6.5;23.179937;524.00507;62.334999
DP 14;4;7;26.874434;607.50446;72.055506
DP 15;4;7.5;30.842476;697.20034;82.509043
DP 16;4;8;35.07583;792.93692;93.625538
DP 1;4.5;0.5;0.13786609;3.1680926;0.45789134
DP 2;4.5;1;0.56039433;12.876624;1.7954596
DP 3;4.5;1.5;1.2638792;29.043199;3.9905175
DP 4;4.5;2;2.2526208;51.777903;7.0344507
DP 5;4.5;2.5;3.5298738;81.131799;10.910736
DP 6;4.5;3;5.091839;117.03465;15.598389
DP 7;4.5;3.5;6.9356059;159.43758;21.089448
DP 8;4.5;4;9.0591903;208.28532;27.369007
DP 9;4.5;4.5;11.467602;263.68084;34.452609
DP 10;4.5;5;14.160078;325.594;42.33795
DP 11;4.5;5.5;17.133008;393.9454;51.008214
DP 12;4.5;6;20.387839;468.76197;60.467532
DP 13;4.5;6.5;23.922203;550.00218;70.73326
DP 14;4.5;7;27.740682;637.75441;81.797446
DP 15;4.5;7.5;31.835539;731.90792;93.68773
DP 16;4.5;8;36.207092;832.47207;106.36337
DP 1;5;0.5;0.14233581;3.3214806;0.51093415
DP 2;5;1;0.57791748;13.484918;2.0078705
DP 3;5;1.5;1.3033365;30.416728;4.4686466
DP 4;5;2;2.3226112;54.220386;7.8861171
DP 5;5;2.5;3.6388402;84.944479;12.239995
DP 6;5;3;5.2489892;122.53514;17.511127
DP 7;5;3.5;7.1495107;166.92575;23.687537
DP 8;5;4;9.3390814;218.07663;30.759622
DP 9;5;4.5;11.822353;276.08525;38.74229
DP 10;5;5;14.597979;340.90814;47.631497
DP 11;5;5.5;17.663832;412.49406;57.410913
DP 12;5;6;21.020159;490.84546;68.085917
DP 13;5;6.5;24.665967;575.95615;79.677685
DP 14;5;7;28.605131;667.90188;92.187351
DP 15;5;7.5;32.826303;766.46702;105.57642
DP 16;5;8;37.337338;871.85788;119.89549
DP 1;5.5;0.5;0.14682787;3.4759137;0.56698202
DP 2;5.5;1;0.59568473;14.100588;2.2325021
DP 3;5.5;1.5;1.3422841;31.779742;4.9750275
DP 4;5.5;2;2.3915478;56.641915;8.7862076
DP 5;5.5;2.5;3.7461149;88.723359;13.643794
DP 6;5.5;3;5.4038986;127.98972;19.529333
DP 7;5.5;3.5;7.3601685;174.34677;26.428614
DP 8;5.5;4;9.61478;227.78279;34.337976
DP 9;5.5;4.5;12.171526;288.37682;43.269373
DP 10;5.5;5;15.028719;356.07624;53.213395
DP 11;5.5;5.5;18.185667;430.85933;64.164812
DP 12;5.5;6;21.642385;512.72566;76.126515
DP 13;5.5;6.5;25.398094;601.66449;89.107992
DP 14;5.5;7;29.455473;697.74242;103.12534
DP 15;5.5;7.5;33.803406;800.76296;118.14954
DP 16;5.5;8;38.451536;910.96331;134.2258
DP 1;6;0.5;0.15112766;3.6248696;0.62649996
DP 2;6;1;0.61252911;14.691968;2.4702911
DP 3;6;1.5;1.3801689;33.115824;5.509288
DP 4;6;2;2.458559;59.015398;9.7343124
DP 5;6;2.5;3.8504018;92.42832;15.120566
DP 6;6;3;5.5548144;133.34429;21.653642
DP 7;6;3.5;7.5653981;181.63324;29.315118
DP 8;6;4;9.8838894;237.31952;38.106857
DP 9;6;4.5;12.512592;300.46147;48.039434
DP 10;6;5;15.450115;371.00113;59.099462
DP 11;6;5.5;18.69682;448.94305;71.288455
DP 12;6;6;22.252759;534.28796;84.609323
DP 13;6;6.5;26.117;627.04435;99.081672
DP 14;6;7;30.29072;727.21179;114.69777
DP 15;6;7.5;34.764901;834.64803;131.43937
DP 16;6;8;39.548198;949.55702;149.33459
DP 1;6.5;0.5;0.1554249;3.7740857;0.68885447
DP 2;6.5;1;0.62925191;15.280606;2.719927
DP 3;6.5;1.5;1.4170956;34.428885;6.0697817
DP 4;6.5;2;2.5237954;61.347098;10.727511
DP 5;6.5;2.5;3.9523343;96.074408;16.666618
DP 6;6.5;3;5.7024075;138.61519;23.878734
DP 7;6.5;3.5;7.7665745;188.81335;32.340019
DP 8;6.5;4;10.146606;246.70149;42.054639
DP 9;6.5;4.5;12.846131;312.36376;53.039322
DP 10;6.5;5;15.862533;385.71694;65.27636
DP 11;6.5;5.5;19.197697;466.79211;78.769861
DP 12;6.5;6;22.850818;555.57827;93.520114
DP 13;6.5;6.5;26.821552;652.04851;109.52278
DP 14;6.5;7;31.110173;756.25805;126.81408
DP 15;6.5;7.5;35.707915;868.07683;145.36931
DP 16;6.5;8;40.624196;987.66705;165.19133
DP 1;7;0.5;0.15967379;3.9215995;0.75453095
DP 2;7;1;0.64572833;15.861966;2.9822019
DP 3;7;1.5;1.4534327;35.725449;6.6574504
DP 4;7;2;2.588377;63.657586;11.767925
DP 5;7;2.5;4.0530723;99.685148;18.285484
DP 6;7;3;5.8482454;143.83589;26.209441
DP 7;7;3.5;7.9638465;195.90117;35.50321
DP 8;7;4;10.404825;255.98054;46.187767
DP 9;7;4.5;13.174477;324.12852;58.272261
DP 10;7;5;16.266467;400.21576;71.72506
DP 11;7;5.5;19.687402;484.36619;86.574676
DP 12;7;6;23.437539;576.55676;102.8198
DP 13;7;6.5;27.512886;676.74431;120.46535
DP 14;7;7;31.911926;784.91832;139.52136
DP 15;7;7.5;36.632968;900.99257;159.93958
DP 16;7;8;41.667467;1025.0671;181.73717
DP 1;7.5;0.5;1.049499;19.965765;4.9006715
DP 2;7.5;1;0.71636328;17.570947;3.4047744
DP 3;7.5;1.5;1.4983369;37.186981;7.292785
DP 4;7.5;2;2.6604955;66.111534;12.8711
DP 5;7.5;2.5;4.1648789;103.5008;20.000195
DP 6;7.5;3;6.0102835;149.35169;28.678852
DP 7;7.5;3.5;8.1826322;203.36715;38.854773
DP 8;7.5;4;10.68928;265.71512;50.562472
DP 9;7.5;4.5;13.531797;336.41287;63.802668
DP 10;7.5;5;16.706996;415.33528;78.541865
DP 11;7.5;5.5;20.223195;502.71497;94.843318
DP 12;7.5;6;24.074457;598.357;112.6475
DP 13;7.5;6.5;28.263096;702.3629;132.00319
DP 14;7.5;7;32.779914;814.61114;152.89119
DP 15;7.5;7.5;37.629287;935.08405;175.28179
DP 16;7.5;8;42.81387;1063.9663;199.23226
