Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-n6409-il-1000000-n5
Airfoil,n6409-il
Reynolds number,1000000
Ncrit,5
Mach,0
Max Cl/Cd,144.335
Max Cl/Cd alpha,4.75
Url,http://airfoiltools.com/polar/csv?polar=xf-n6409-il-1000000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-4.250,0.2198,0.00845,0.00264,-0.1510,0.7366,0.0184
-4.000,0.2463,0.00825,0.00238,-0.1507,0.7262,0.0194
-3.500,0.2992,0.00803,0.00203,-0.1500,0.7054,0.0214
-3.250,0.3255,0.00796,0.00189,-0.1496,0.6934,0.0224
-3.000,0.3520,0.00788,0.00174,-0.1493,0.6816,0.0237
-2.750,0.3783,0.00780,0.00162,-0.1489,0.6697,0.0262
-2.500,0.4047,0.00776,0.00153,-0.1486,0.6586,0.0291
-2.250,0.4308,0.00771,0.00145,-0.1482,0.6472,0.0351
-2.000,0.4571,0.00767,0.00139,-0.1478,0.6351,0.0426
-1.750,0.4834,0.00766,0.00134,-0.1475,0.6230,0.0494
-1.500,0.5097,0.00766,0.00131,-0.1471,0.6111,0.0557
-1.250,0.5358,0.00766,0.00128,-0.1468,0.6003,0.0636
-1.000,0.5621,0.00768,0.00127,-0.1464,0.5892,0.0716
-0.750,0.5884,0.00768,0.00127,-0.1461,0.5782,0.0845
-0.500,0.6145,0.00768,0.00128,-0.1457,0.5678,0.1016
-0.250,0.6405,0.00771,0.00129,-0.1453,0.5575,0.1162
0.000,0.6669,0.00773,0.00131,-0.1451,0.5477,0.1300
0.250,0.6931,0.00775,0.00135,-0.1447,0.5390,0.1474
0.500,0.7193,0.00779,0.00138,-0.1444,0.5299,0.1640
0.750,0.7456,0.00782,0.00143,-0.1441,0.5221,0.1814
1.000,0.7715,0.00787,0.00149,-0.1437,0.5137,0.2044
1.250,0.7979,0.00789,0.00155,-0.1434,0.5067,0.2269
1.500,0.8238,0.00793,0.00162,-0.1431,0.4996,0.2561
1.750,0.8499,0.00794,0.00170,-0.1428,0.4935,0.2911
2.000,0.8760,0.00796,0.00179,-0.1425,0.4874,0.3308
2.250,0.9010,0.00786,0.00191,-0.1421,0.4816,0.4420
2.750,0.9577,0.00706,0.00222,-0.1427,0.4707,1.0000
3.000,0.9835,0.00717,0.00232,-0.1423,0.4658,1.0000
3.250,1.0096,0.00727,0.00240,-0.1419,0.4607,1.0000
3.500,1.0352,0.00739,0.00250,-0.1415,0.4556,1.0000
3.750,1.0607,0.00752,0.00262,-0.1411,0.4509,1.0000
4.000,1.0866,0.00762,0.00273,-0.1407,0.4459,1.0000
4.250,1.1119,0.00776,0.00285,-0.1403,0.4405,1.0000
4.500,1.1371,0.00789,0.00298,-0.1398,0.4352,1.0000
4.750,1.1619,0.00805,0.00311,-0.1393,0.4251,1.0000
5.000,1.1848,0.00829,0.00328,-0.1384,0.4060,1.0000
5.250,1.2059,0.00865,0.00348,-0.1372,0.3749,1.0000
5.500,1.2231,0.00923,0.00381,-0.1353,0.3254,1.0000
5.750,1.2395,0.00988,0.00421,-0.1334,0.2795,1.0000
6.000,1.2523,0.01076,0.00475,-0.1308,0.2209,1.0000
6.250,1.2662,0.01153,0.00527,-0.1284,0.1743,1.0000
6.500,1.2788,0.01233,0.00583,-0.1258,0.1291,1.0000
6.750,1.2906,0.01303,0.00635,-0.1230,0.0951,1.0000
7.000,1.3034,0.01365,0.00685,-0.1203,0.0701,1.0000
7.250,1.3174,0.01422,0.00732,-0.1179,0.0523,1.0000
7.500,1.3323,0.01473,0.00777,-0.1157,0.0407,1.0000
7.750,1.3481,0.01520,0.00822,-0.1138,0.0328,1.0000
8.000,1.3630,0.01572,0.00871,-0.1117,0.0255,1.0000
8.250,1.3780,0.01624,0.00921,-0.1096,0.0202,1.0000
8.500,1.3931,0.01676,0.00973,-0.1076,0.0169,1.0000
8.750,1.4080,0.01729,0.01026,-0.1057,0.0149,1.0000
9.000,1.4232,0.01781,0.01082,-0.1038,0.0137,1.0000
9.250,1.4380,0.01836,0.01141,-0.1019,0.0129,1.0000
9.500,1.4519,0.01897,0.01204,-0.1000,0.0122,1.0000
9.750,1.4652,0.01964,0.01274,-0.0980,0.0116,1.0000
10.000,1.4770,0.02039,0.01354,-0.0959,0.0109,1.0000
10.250,1.4891,0.02116,0.01436,-0.0938,0.0105,1.0000
10.500,1.5015,0.02193,0.01518,-0.0919,0.0103,1.0000
10.750,1.5134,0.02275,0.01605,-0.0901,0.0101,1.0000
11.000,1.5247,0.02362,0.01698,-0.0882,0.0097,1.0000
11.250,1.5353,0.02458,0.01799,-0.0863,0.0094,1.0000
11.500,1.5448,0.02564,0.01911,-0.0844,0.0092,1.0000
11.750,1.5539,0.02676,0.02030,-0.0826,0.0089,1.0000
12.000,1.5620,0.02800,0.02159,-0.0808,0.0087,1.0000
12.250,1.5692,0.02936,0.02300,-0.0790,0.0085,1.0000
12.500,1.5746,0.03091,0.02462,-0.0771,0.0082,1.0000
12.750,1.5764,0.03282,0.02662,-0.0752,0.0078,1.0000
13.000,1.5827,0.03443,0.02830,-0.0737,0.0077,1.0000
13.250,1.5885,0.03612,0.03007,-0.0723,0.0077,1.0000
13.500,1.5940,0.03790,0.03194,-0.0711,0.0075,1.0000
13.750,1.5988,0.03982,0.03394,-0.0700,0.0074,1.0000
14.000,1.6030,0.04188,0.03608,-0.0689,0.0073,1.0000
14.250,1.6070,0.04401,0.03829,-0.0680,0.0072,1.0000
14.500,1.6096,0.04637,0.04073,-0.0672,0.0070,1.0000
14.750,1.6126,0.04876,0.04320,-0.0665,0.0069,1.0000
15.000,1.6163,0.05114,0.04566,-0.0660,0.0066,1.0000
15.250,1.6183,0.05376,0.04836,-0.0655,0.0065,1.0000
15.500,1.6210,0.05637,0.05104,-0.0653,0.0063,1.0000
15.750,1.6213,0.05936,0.05413,-0.0651,0.0062,1.0000
16.000,1.6220,0.06236,0.05721,-0.0650,0.0061,1.0000
16.250,1.6214,0.06562,0.06055,-0.0651,0.0060,1.0000
16.500,1.6191,0.06916,0.06418,-0.0653,0.0059,1.0000
16.750,1.6163,0.07287,0.06798,-0.0657,0.0058,1.0000
17.000,1.6108,0.07707,0.07229,-0.0663,0.0056,1.0000
17.250,1.6033,0.08166,0.07698,-0.0671,0.0055,1.0000
17.500,1.6021,0.08535,0.08077,-0.0679,0.0055,1.0000
