;;;;;;
angle_of_attack;inlet_vel;moment;drag_force;lift_force;lift_coefficient;drag_coefficient
3;6;18.458545;19.383125;401.0716;0;0
3;6.5;21.655868;22.519354;470.52807;0;0
3;7;25.104034;25.894654;545.43529;0;0
3;7.5;28.808034;29.508694;625.90286;0;0
3;8;32.75994;33.361206;711.79796;0;0
3.5;0.5;0.12872019;0.18843652;2.848897;0;0
3.5;1;0.5242888;0.70250327;11.609573;0;0
3.5;1.5;1.1836555;1.5254593;26.214523;0;0
3.5;2;2.1106439;2.6374102;46.760953;0;0
3.5;2.5;3.3089028;4.0239942;73.308759;0;0
3.5;3;4.7736334;5.6700018;105.76743;0;0
3.5;3.5;6.5033592;7.5739847;144.12234;0;0
3.5;4;8.4939712;9.7209092;188.27719;0;0
3.5;4.5;10.751207;12.117038;238.34621;0;0
3.5;5;13.274732;14.761805;294.30974;0;0
3.5;5.5;16.06115;17.646993;356.0924;0;0
3.5;6;19.111358;20.775481;423.71222;0;0
3.5;6.5;22.421754;24.150541;497.09601;0;0
3.5;7;25.992994;27.794766;576.26718;0;0
3.5;7.5;29.829783;31.684572;661.3257;0;0
3.5;8;33.922261;35.836084;752.10815;0;0
4;0.5;0.1333402;0.19909724;3.0061933;0;0
4;1;0.54256216;0.74461787;12.236905;0;0
4;1.5;1.2242564;1.6201618;27.616318;0;0
4;2;2.1825205;2.8075716;49.250168;0;0
4;2.5;3.4208884;4.2892968;77.196745;0;0
4;3;4.9347415;6.0494835;111.36999;0;0
4;3.5;6.7220125;8.0860419;151.74044;0;0
4;4;8.7797059;10.384905;198.23368;0;0
4;4.5;11.113049;12.953069;250.95509;0;0
4;5;13.721935;15.791374;309.888;0;0
4;5.5;16.602873;18.889953;374.95619;0;0
4;6;19.756435;22.254416;446.17044;0;0
4;6.5;23.179937;25.882292;523.47478;0;0
4;7;26.874434;29.792553;606.90462;0;0
4;7.5;30.842476;34.00475;696.52499;0;0
4;8;35.07583;38.45927;792.18386;0;0
4.5;0.5;0.13786609;0.21050581;3.1613218;0;0
4.5;1;0.56039433;0.78935475;12.854318;0;0
4.5;1.5;1.2638792;1.7206976;28.997585;0;0
4.5;2;2.2526208;2.9870945;51.702921;0;0
4.5;2.5;3.5298738;4.5678117;81.02318;0;0
4.5;3;5.091839;6.4472487;116.88913;0;0
4.5;3.5;6.9356059;8.6212499;159.25208;0;0
4.5;4;9.0591903;11.079162;208.05743;0;0
4.5;4.5;11.467602;13.828494;263.40787;0;0
4.5;5;14.160078;16.869315;325.27315;0;0
4.5;5.5;17.133008;20.190957;393.5745;0;0
4.5;6;20.387839;23.795452;468.33873;0;0
4.5;6.5;23.922203;27.703617;549.52257;0;0
4.5;7;27.740682;31.900405;637.21585;0;0
4.5;7.5;31.835539;36.42251;731.30461;0;0
4.5;8;36.207092;41.228066;831.80152;0;0
5;0.5;0.14233581;0.22288998;3.3146678;0;0
5;1;0.57791748;0.83766798;13.463141;0;0
5;1.5;1.3033365;1.8284274;30.372948;0;0
5;2;2.3226112;3.1787829;54.149392;0;0
5;2.5;3.6388402;4.8639131;84.843416;0;0
5;3;5.2489892;6.8692101;122.40222;0;0
5;3.5;7.1495107;9.1884546;166.75949;0;0
5;4;9.3390814;11.815445;217.87593;0;0
5;4.5;11.822353;14.756635;275.84881;0;0
5;5;14.597979;18.011782;340.63453;0;0
5;5.5;17.663832;21.568901;412.18269;0;0
5;6;21.020159;25.433217;490.49529;0;0
5;6.5;24.665967;29.626698;575.56421;0;0
5;7;28.605131;34.143787;667.46596;0;0
5;7.5;32.826303;38.964624;765.98584;0;0
5;8;37.337338;44.122145;871.32805;0;0
5.5;0.5;0.14682787;0.23554786;3.4693094;0;0
5.5;1;0.59568473;0.88704003;14.080393;0;0
5.5;1.5;1.3422841;1.9418474;31.739747;0;0
5.5;2;2.3915478;3.3789515;56.578534;0;0
5.5;2.5;3.7461149;5.1722529;88.635682;0;0
5.5;3;5.4038986;7.3063918;127.87816;0;0
5.5;3.5;7.3601685;9.77616;174.2118;0;0
5.5;4;9.61478;12.578989;227.62508;0;0
5.5;4.5;12.171526;15.719284;288.197;0;0
5.5;5;15.028719;19.192639;355.87508;0;0
5.5;5.5;18.185667;22.995872;430.63784;0;0
5.5;6;21.642385;27.131957;512.48455;0;0
5.5;6.5;25.398094;31.611564;601.4034;0;0
5.5;7;29.455473;36.444515;697.46034;0;0
5.5;7.5;33.803406;41.62056;800.45896;0;0
5.5;8;38.451536;47.162391;910.63538;0;0
6;0.5;0.15112766;0.2496207;3.6186002;0;0
6;1;0.61252911;0.94160604;14.673929;0;0
6;1.5;1.3801689;2.0626349;33.081444;0;0
6;2;2.458559;3.5906625;58.963078;0;0
6;2.5;3.8504018;5.4964545;92.35974;0;0
6;3;5.5548144;7.7664639;133.26249;0;0
6;3.5;7.5653981;10.395858;181.54107;0;0
6;4;9.8838894;13.38393;237.22004;0;0
6;4.5;12.512592;16.735197;300.35756;0;0
6;5;15.450115;20.442242;370.89614;0;0
6;5.5;18.69682;24.506121;448.84025;0;0
6;6;22.252759;28.929708;534.19033;0;0
6;6.5;26.117;33.732036;626.95291;0;0
6;7;30.29072;38.905289;727.12836;0;0
6;7.5;34.764901;44.446115;834.57403;0;0
6;8;39.548198;50.361303;949.49426;0;0
6.5;0.5;0.1554249;0.26395287;3.7684294;0;0
6.5;1;0.62925191;0.99821344;15.265735;0;0
6.5;1.5;1.4170956;2.1894185;34.402178;0;0
6.5;2;2.5237954;3.8115544;61.309726;0;0
6.5;2.5;3.9523343;5.8330519;96.031391;0;0
6.5;3;5.7024075;8.2448688;138.57261;0;0
6.5;3.5;7.7665745;11.04083;188.77698;0;0
6.5;4;10.146606;14.221397;246.67726;0;0
6.5;4.5;12.846131;17.793852;312.35731;0;0
6.5;5;15.862533;21.749803;385.73434;0;0
6.5;5.5;19.197697;26.089831;466.83957;0;0
6.5;6;22.850818;30.815507;555.66173;0;0
6.5;6.5;26.821552;35.925535;652.17389;0;0
6.5;7;31.110173;41.450432;756.42816;0;0
6.5;7.5;35.707915;47.380121;868.29477;0;0
6.5;8;40.624196;53.698663;987.9388;0;0
7;0.5;0.15967379;0.27927983;3.9167588;0;0
7;1;0.64572833;1.0583223;15.851141;0;0
7;1.5;1.4534327;2.3229926;35.708513;0;0
7;2;2.588377;4.0423767;63.639302;0;0
7;2.5;4.0530723;6.1843245;99.674426;0;0
7;3;5.8482454;8.7446484;143.84236;0;0
7;3.5;7.9638465;11.712128;195.93428;0;0
7;4;10.404825;15.095718;256.04939;0;0
7;4.5;13.174477;18.897927;324.24229;0;0
7;5;16.266467;23.102648;400.38466;0;0
7;5.5;19.687402;27.723477;484.59968;0;0
7;6;23.437539;32.761979;576.86394;0;0
7;6.5;27.512886;38.228585;677.13266;0;0
7;7;31.911926;44.134898;785.39384;0;0
7;7.5;36.632968;50.442399;901.56532;0;0
7;8;41.667467;57.156056;1025.7472;0;0
7.5;0.5;1.049499;2.3321565;19.831015;0;0
7.5;1;0.71636328;1.1203524;17.575069;0;0
7.5;1.5;1.4983369;2.4603537;37.183954;0;0
7.5;2;2.6604955;4.2774493;66.118871;0;0
7.5;2.5;4.1648789;6.5424545;103.53257;0;0
7.5;3;6.0102835;9.2545336;149.42206;0;0
7.5;3.5;8.1826322;12.400151;203.48948;0;0
7.5;4;10.68928;15.992036;265.90257;0;0
7.5;4.5;13.531797;20.028594;336.67895;0;0
7.5;5;16.706996;24.492353;415.69472;0;0
7.5;5.5;20.223195;29.416803;503.18008;0;0
7.5;6;24.074457;34.767192;598.94301;0;0
7.5;6.5;28.263096;40.579859;703.08112;0;0
7.5;7;32.779914;46.851521;815.47227;0;0
7.5;7.5;37.629287;53.554078;936.10232;0;0
7.5;8;42.81387;60.721367;1065.1531;0;0
