;;;;;;
inlet_vel;angle_of_attack;lift_force;drag_force;moment;lift_coefficient;drag_coefficient
8;5;869.42458;41.690759;36.276514;0;0
0.5;5.5;3.4781322;0.23409573;0.1435651;0;0
1;5.5;14.245192;0.86085496;0.58804775;0;0
1.5;5.5;32.023292;1.8510742;1.3207511;0;0
2;5.5;56.647137;3.1974882;2.3338703;0;0
2.5;5.5;88.269059;4.8761215;3.6327389;0;0
3;5.5;126.49054;6.8539304;5.1964147;0;0
3.5;5.5;171.78428;9.161304;7.0524153;0;0
4;5.5;224.36609;11.800176;9.2095196;0;0
4.5;5.5;284.26161;14.762584;11.667438;0;0
5;5.5;351.46402;18.047331;14.424757;0;0
5.5;5.5;426.03276;21.644383;17.486577;0;0
6;5.5;508.08049;25.569994;20.856976;0;0
6.5;5.5;597.72579;29.824028;24.543008;0;0
7;5.5;695.02452;34.404752;28.546995;0;0
7.5;5.5;799.78709;39.312693;32.86086;0;0
8;5.5;912.23993;44.551991;37.49482;0;0
0.5;6;3.6396154;0.2463609;0.14810566;0;0
1;6;14.840642;0.91302601;0.60362449;0;0
1.5;6;33.31943;1.9550119;1.35294;0;0
2;6;58.797427;3.3670374;2.3828603;0;0
2.5;6;91.669086;5.13653;3.7115066;0;0
3;6;131.65782;7.241049;5.3248967;0;0
3.5;6;178.92648;9.6907912;7.2331903;0;0
4;6;233.76414;12.490887;9.4489586;0;0
4.5;6;296.2208;15.634737;11.973513;0;0
5;6;366.28333;19.123588;14.804306;0;0
5.5;6;443.98211;22.948084;17.944889;0;0
6;6;529.44569;27.116815;21.401123;0;0
6.5;6;622.63274;31.625008;25.170782;0;0
7;6;723.51932;36.467825;29.254229;0;0
7.5;6;832.01733;41.645448;33.643714;0;0
8;6;948.28869;47.174699;38.348183;0;0
0.5;6.5;3.8045612;0.26007973;0.1528865;0;0
1;6.5;15.490504;0.96542234;0.62198854;0;0
1.5;6.5;34.692144;2.0746646;1.3898983;0;0
2;6.5;61.222521;3.570765;2.4478777;0;0
2.5;6.5;95.5184;5.4500344;3.8160309;0;0
3;6.5;137.23558;7.6899405;5.4775451;0;0
3.5;6.5;186.51772;10.294113;7.4412261;0;0
4;6.5;243.70513;13.279269;9.7204112;0;0
4.5;6.5;308.90501;16.634759;12.321092;0;0
5;6.5;382.09294;20.355911;15.241711;0;0
5.5;6.5;463.25703;24.448416;18.479178;0;0
6;6.5;552.46275;28.900922;22.041203;0;0
6.5;6.5;649.76103;33.724052;25.927072;0;0
7;6.5;755.03616;38.907302;30.131121;0;0
7.5;6.5;868.29454;44.461055;34.652713;0;0
8;6.5;989.80777;50.374817;39.511089;0;0
0.5;7;3.9654405;0.2744372;0.15748313;0;0
1;7;16.115515;1.0219927;0.63922167;0;0
1.5;7;36.034575;2.1993111;1.4255145;0;0
2;7;63.565962;3.7808429;2.5092362;0;0
2.5;7;99.171329;5.7717224;3.9112812;0;0
3;7;142.52131;8.1462833;5.6161889;0;0
3.5;7;193.80467;10.921035;7.6338772;0;0
4;7;253.33227;14.096917;9.9773071;0;0
4.5;7;321.19895;17.672265;12.650487;0;0
5;7;397.37328;21.63936;15.652784;0;0
5.5;7;481.8929;26.007247;18.983096;0;0
6;7;574.75619;30.762879;22.645569;0;0
6.5;7;676.02954;35.92008;26.639211;0;0
7;7;785.46931;41.453006;30.954201;0;0
7.5;7;903.46836;47.39064;35.610653;0;0
8;7;1030.0664;53.725782;40.61272;0;0
0.5;7.5;4.1221146;0.28992249;0.16190177;0;0
1;7.5;16.713981;1.0835161;0.65530001;0;0
1.5;7.5;37.311271;2.3300002;1.4582981;0;0
2;7.5;65.8294;4.0028027;2.5671896;0;0
2.5;7.5;102.6903;6.1091999;4.0007276;0;0
3;7.5;147.60879;8.6319788;5.746324;0;0
3.5;7.5;200.84538;11.583984;7.816627;0;0
4;7.5;262.7384;14.970646;10.225104;0;0
4.5;7.5;333.26824;18.783862;12.971253;0;0
5;7.5;412.41824;23.020744;16.054213;0;0
5.5;7.5;500.17677;27.678525;19.473043;0;0
6;7.5;596.58023;32.759131;23.229391;0;0
6.5;7.5;701.7074;38.26611;27.32842;0;0
7;7.5;815.34914;44.175593;31.758804;0;0
7.5;7.5;938.01102;50.537634;36.544182;0;0
8;7.5;1069.614;57.337337;41.685411;0;0
