;;;;;;
angle_of_attack;inlet_vel;moment;lift_force;drag_force;lift_coefficient;drag_coefficient
1.5;3.5;5.1373042;105.29162;8.3901575;0;0
1.5;4;6.6916328;137.17211;10.799184;0;0
1.5;4.5;8.458582;173.41436;13.495743;0;0
1.5;5;10.446086;214.17729;16.486152;0;0
1.5;5.5;12.646693;259.32776;19.763235;0;0
1.5;6;15.063751;308.92779;23.324265;0;0
1.5;6.5;17.701324;363.05279;27.181592;0;0
1.5;7;20.557409;421.66744;31.326547;0;0
1.5;7.5;23.627089;484.67798;35.750432;0;0
1.5;8;26.921518;552.29203;40.473656;0;0
2;0.5;0.10695364;2.2543661;0.24422809;0;0
2;1;0.4421885;9.3307192;0.91544129;0;0
2;1.5;1.0014062;21.138914;1.9739245;0;0
2;2;1.7731462;37.440041;3.4082233;0;0
2;2.5;2.7630708;58.363409;5.2219043;0;0
2;3;3.9729157;83.946925;7.4080455;0;0
2;3.5;5.3892236;113.92084;9.9378631;0;0
2;4;7.0257312;148.53625;12.821925;0;0
2;4.5;8.8875462;187.90898;16.061317;0;0
2;5;10.971166;231.99497;19.646617;0;0
2;5.5;13.283654;280.92575;23.590672;0;0
2;6;15.821976;334.64467;27.881465;0;0
2;6.5;18.589412;393.21316;32.53343;0;0
2;7;21.585585;456.63116;37.531871;0;0
2;7.5;24.813196;524.94205;42.886237;0;0
2;8;28.27271;598.1473;48.590791;0;0
2.5;0.5;0.1123435;2.4344366;0.27906503;0;0
2.5;1;0.46393427;10.059301;1.0571665;0;0
2.5;1.5;1.0490798;22.751551;2.294234;0;0
2.5;2;1.8561317;40.271256;3.9750959;0;0
2.5;2.5;2.892275;62.780368;6.1062684;0;0
2.5;3;4.1549303;90.231565;8.673418;0;0
2.5;3.5;5.6385058;122.49934;11.657444;0;0
2.5;4;7.3502744;159.72122;15.062583;0;0
2.5;4.5;9.2978894;202.06465;18.892816;0;0
2.5;5;11.484027;249.59267;23.14878;0;0
2.5;5.5;13.906881;302.2792;27.829536;0;0
2.5;6;16.568967;360.16885;32.937002;0;0
2.5;6.5;19.471919;423.29141;38.476552;0;0
2.5;7;22.608197;491.50856;44.426573;0;0
2.5;7.5;25.992407;565.08668;50.808454;0;0
2.5;8;29.616177;643.88333;57.621817;0;0
3;0.5;0.11760522;2.6114444;0.3177765;0;0
3;1;0.48527424;10.777951;1.2141212;0;0
3;1.5;1.0958681;24.342281;2.6477692;0;0
3;2;1.9377116;43.065638;4.6011656;0;0
3;2.5;3.0198721;67.150468;7.0842114;0;0
3;3;4.3384848;96.52232;10.078043;0;0
3;3.5;5.8854084;131.00514;13.558204;0;0
3;4;7.6713748;170.80497;17.537063;0;0
3;4.5;9.7073777;216.15505;22.028204;0;0
3;5;11.992573;267.05386;27.025888;0;0
3;5.5;14.523514;323.44103;32.521458;0;0
3;6;17.298853;385.29011;38.51657;0;0
3;6.5;20.329958;452.82727;45.023853;0;0
3;7;23.610046;525.89171;52.042612;0;0
3;7.5;27.141077;604.55815;59.560884;0;0
3;8;30.92687;688.87984;67.587034;0;0
3.5;0.5;0.12293345;2.7898618;0.36011905;0;0
3.5;1;0.50631741;11.488559;1.3865475;0;0
3.5;1.5;1.1418747;25.915155;3.0346286;0;0
3.5;2;2.0178738;45.829537;5.2851779;0;0
3.5;2.5;3.1433541;71.435516;8.1489568;0;0
3.5;3;4.5124223;102.61986;11.599046;0;0
3.5;3.5;6.1216633;139.29164;15.620087;0;0
3.5;4;7.9846735;181.71638;20.232241;0;0
3.5;4.5;10.107567;230.03926;25.443777;0;0
3.5;5;12.489955;284.26914;31.251204;0;0
3.5;5.5;15.127949;344.33016;37.640042;0;0
3.5;6;18.022412;410.24558;44.617668;0;0
3.5;6.5;21.175792;482.05879;52.185914;0;0
3.5;7;24.592754;559.84381;60.340943;0;0
3.5;7.5;28.27922;643.73562;69.111641;0;0
3.5;8;32.229165;733.61083;78.473833;0;0
4;0.5;0.12835886;2.9689321;0.40683157;0;0
4;1;0.5286159;12.219087;1.5772457;0;0
4;1.5;1.1927939;27.571101;3.4674093;0;0
4;2;2.1127451;48.849361;6.0652065;0;0
4;2.5;3.2900819;76.126821;9.3620559;0;0
4;3;4.7012246;108.96605;13.289273;0;0
4;3.5;6.3750249;147.86302;17.904494;0;0
4;4;8.3159588;192.92306;23.210231;0;0
4;4.5;10.528223;244.25597;29.212894;0;0
4;5;13.010405;301.85273;35.906423;0;0
4;5.5;15.760978;365.68932;43.288629;0;0
4;6;18.783756;435.81815;51.352319;0;0
4;6.5;22.080425;512.2956;60.117065;0;0
4;7;25.664866;595.381;69.611546;0;0
4;7.5;29.538407;685.07481;79.823173;0;0
4;8;33.699775;781.35593;90.754988;0;0
4.5;0.5;0.13352391;3.1433571;0.45645082;0;0
4.5;1;0.54838032;12.898715;1.7795865;0;0
4.5;1.5;1.2373998;29.107389;3.9208303;0;0
4.5;2;2.190641;51.553262;6.8677923;0;0
4.5;2.5;3.4105245;80.327138;10.608707;0;0
4.5;3;4.874428;115.0078;15.071542;0;0
4.5;3.5;6.6092664;156.05825;20.316539;0;0
4.5;4;8.6241809;203.67512;26.359955;0;0
4.5;4.5;10.919128;257.89449;33.203285;0;0
4.5;5;13.493926;318.71574;40.832556;0;0
4.5;5.5;16.352993;386.2397;49.268564;0;0
4.5;6;19.493757;460.38887;58.485043;0;0
4.5;6.5;22.923403;541.32509;68.516321;0;0
4.5;7;26.651498;629.21457;79.376226;0;0
4.5;7.5;30.676685;724.03446;91.062557;0;0
4.5;8;34.999554;825.81767;103.58955;0;0
5;0.5;0.13853948;3.3139495;0.50974535;0;0
5;1;0.56857321;13.589613;1.9936305;0;0
5;1.5;1.2797196;30.595641;4.4010971;0;0
5;2;2.263544;54.153462;7.7152984;0;0
5;2.5;3.5224435;84.353565;11.920788;0;0
5;3;5.0353254;120.80069;16.947163;0;0
5;3.5;6.8334266;164.03531;22.874103;0;0
5;4;8.921972;214.19255;29.709838;0;0
5;4.5;11.301303;271.31212;37.451456;0;0
5;5;13.970418;335.393;46.097654;0;0
5;5.5;16.930051;406.42691;55.636099;0;0
5;6;20.186784;484.57074;66.098943;0;0
5;6.5;23.749335;569.96555;77.496577;0;0
5;7;27.618081;662.6139;89.827132;0;0
5;7.5;31.792387;762.49016;103.08402;0;0
5;8;36.276514;869.74975;117.30746;0;0
5.5;0.5;0.1435651;3.4845566;0.56638219;0;0
5.5;1;0.58804775;14.262119;2.2222329;0;0
5.5;1.5;1.3207511;32.053281;4.9118488;0;0
5.5;2;2.3338703;56.692811;8.6121551;0;0
5.5;2.5;3.6327389;88.330041;13.313887;0;0
5.5;3;5.1964147;126.56512;18.945957;0;0
5.5;3.5;7.0524153;171.87149;25.583921;0;0
5.5;4;9.2095196;224.46415;33.250387;0;0
5.5;4.5;11.667438;284.36786;41.939888;0;0
5.5;5;14.424757;351.57571;51.650579;0;0
5.5;5.5;17.486577;426.14591;62.378167;0;0
5.5;6;20.856976;508.19216;74.149631;0;0
5.5;6.5;24.543008;597.83248;86.976203;0;0
5.5;7;28.546995;695.12232;100.86151;0;0
5.5;7.5;32.86086;799.87298;115.7879;0;0
5.5;8;37.49482;912.31028;131.78121;0;0
6;0.5;0.14810566;3.6454289;0.62545472;0;0
6;1;0.60362449;14.85478;2.4592938;0;0
6;1.5;1.35294;33.341257;5.4271309;0;0
6;2;2.3828603;58.82728;9.4945972;0;0
6;2.5;3.7115066;91.703827;14.69042;0;0
6;3;5.3248967;131.69348;20.963371;0;0
6;3.5;7.2331903;178.95926;28.340614;0;0
6;4;9.4489586;233.78921;36.857467;0;0
6;4.5;11.973513;296.23235;46.512593;0;0
6;5;14.804306;366.27575;57.305861;0;0
6;5.5;17.944889;443.94865;69.231139;0;0
6;6;21.401123;529.37981;82.310411;0;0
6;6.5;25.170782;622.52761;96.534607;0;0
6;7;29.254229;723.36773;111.89641;0;0
6;7.5;33.643714;831.81259;128.3868;0;0
6;8;38.348183;948.02496;146.03943;0;0
6.5;0.5;0.1528865;3.8095468;0.68909645;0;0
6.5;1;0.62198854;15.500218;2.7127913;0;0
6.5;1.5;1.3898983;34.703997;5.9885905;0;0
6.5;2;2.4478777;61.233195;10.478398;0;0
6.5;2.5;3.8160309;95.521355;16.227991;0;0
6.5;3;5.4775451;137.22394;23.176018;0;0
6.5;3.5;7.4412261;186.48409;31.342346;0;0
6.5;4;9.7204112;243.64182;40.782112;0;0
6.5;4.5;12.321092;308.80243;51.496868;0;0
6.5;5;15.241711;381.94115;63.479209;0;0
6.5;5.5;18.479178;463.04679;76.733442;0;0
6.5;6;22.041203;552.18312;91.255701;0;0
6.5;6.5;25.927072;649.40194;107.0623;0;0
6.5;7;30.131121;754.58711;124.12972;0;0
6.5;7.5;34.652713;867.74615;142.46899;0;0
6.5;8;39.511089;989.14773;162.10042;0;0
7;0.5;0.15748313;3.9693282;0.75565722;0;0
7;1;0.63922167;16.119942;2.9783621;0;0
7;1.5;1.4255145;36.034007;6.5744277;0;0
7;2;2.5092362;63.55292;11.499403;0;0
7;2.5;3.9112812;99.135517;17.814646;0;0
7;3;5.6161889;142.45176;25.45454;0;0
7;3.5;7.6338772;193.69101;34.458478;0;0
7;4;9.9773071;253.16195;44.865278;0;0
7;4.5;12.650487;320.95849;56.684844;0;0
7;5;15.652784;397.0485;69.905685;0;0
7;5.5;18.983096;481.47043;84.541364;0;0
7;6;22.645569;574.2211;100.57874;0;0
7;6.5;26.639211;675.36808;118.03961;0;0
7;7;30.954201;784.66639;136.86865;0;0
7;7.5;35.610653;902.50951;157.14249;0;0
7;8;40.61272;1028.936;178.85884;0;0
7.5;0.5;0.16190177;4.1246918;0.82548609;0;0
7.5;1;0.65530001;16.712418;3.2558588;0;0
7.5;1.5;1.4582981;37.296194;7.1801649;0;0
7.5;2;2.5671896;65.788691;12.561019;0;0
7.5;2.5;4.0007276;102.60918;19.460709;0;0
7.5;3;5.746324;147.47268;27.824944;0;0
7.5;3.5;7.816627;200.63914;37.700465;0;0
7.5;4;10.225104;262.4447;49.136813;0;0
7.5;4.5;12.971253;332.86887;62.123398;0;0
7.5;5;16.054213;411.89475;76.65518;0;0
7.5;5.5;19.473043;499.51047;92.727901;0;0
7.5;6;23.229391;595.75232;110.34822;0;0
7.5;6.5;27.32842;700.69892;129.52993;0;0
7.5;7;31.758804;814.13979;150.22208;0;0
7.5;7.5;36.544182;936.58269;172.54028;0;0
7.5;8;41.685411;1067.9474;196.45945;0;0
